id,description,year,dateBegan,daterestoration,respondent,geographicAreas,NERCRegion,tags,beginTime,restorationTime,numCustomersAffected,demandLoss
0,Severe Weather,2014,6/30/2014,7/2/2014,Exelon Corporation/ComEd,Illinois,RFC,"severe weather, thunderstorm",20:00:00,18:30:00,420000.0,
1,Severe Weather,2014,6/30/2014,7/1/2014,Northern Indiana Public Service Company,Indiana,RFC,"severe weather, thunderstorm",23:20:00,17:00:00,127000.0,
2,Severe Weather,2014,6/30/2014,7/1/2014,We Energies,Wisconsin,MRO,"severe weather, thunderstorm",17:55:00,02:53:00,120000.0,424.0
3,Fuel Supply,2014,6/27/2014,Unknown,We Energies,Wisconsin,MRO,"fuel supply emergency, coal",13:21:00,,,
4,Physical Attack,2014,6/24/2014,6/24/2014,Tennessee Valley Authority,Tennessee,SERC,"vandalism, physical",14:54:00,14:55:00,,
5,Physical Attack,2014,6/19/2014,6/19/2014,Tennessee Valley Authority,Tennessee,SERC,"vandalism, physical",08:47:00,08:48:00,,
6,Physical Attack,2014,6/18/2014,6/18/2014,Public Utility District No.1 of Snohomish County (SNPD),Washington,WECC,"vandalism, physical",09:52:00,19:00:00,,
7,Severe Weather,2014,6/18/2014,6/20/2014,Detroit Edison Co,Michigan,RFC,"severe weather, thunderstorm",17:00:00,15:00:00,138802.0,
8,Severe Weather,2014,6/15/2014,6/15/2014,Xcel Energy,Minnesota,MRO,"severe weather, thunderstorm",00:00:00,01:00:00,55951.0,
9,Physical Attack,2014,6/12/2014,6/12/2014,"Luminant Energy Company, LLC",Texas,ERCOT,"vandalism, physical",09:10:00,09:11:00,,
10,Physical Attack,2014,6/11/2014,6/11/2014,South Mississippi El Pwr Assn,Mississippi,SERC,"vandalism, physical",16:00:00,16:30:00,,
11,Physical Attack,2014,6/11/2014,6/11/2014,Tucson Electric Power,Arizona,WECC,"vandalism, physical",09:30:00,09:31:00,,
12,Severe Weather,2014,6/10/2014,6/11/2014,American Electric Power,West Virginia,RFC,"severe weather, thunderstorm",21:50:00,14:30:00,66383.0,
13,Electrical System Separation,2014,6/9/2014,6/9/2014,Peak Reliability,Canada,WECC,islanding,11:07:00,11:30:00,,
14,Severe Weather,2014,6/7/2014,6/8/2014,Southern Company,Alabama,SERC,"severe weather, thunderstorm",23:00:00,05:30:00,65000.0,217.0
15,Fuel Supply,2014,6/6/2014,Unknown,"Luminant Energy Company, LLC",Texas,ERCOT,"fuel supply emergency, coal",13:00:00,,,
16,Severe Weather,2014,6/5/2014,6/7/2014,Memphis Light Gas and Water Division,Tennessee,SERC,"severe weather, thunderstorm",03:00:00,23:45:00,38500.0,494.0
17,Severe Weather,2014,6/5/2014,6/5/2014,Tennessee Valley Authority,Tennessee,SERC,"severe weather, thunderstorm",13:06:00,13:07:00,56475.0,
18,Electrical System Separation,2014,6/3/2014,6/3/2014,Peak Reliability,Canada,WECC,islanding,15:32:00,15:59:00,,338.0
19,Physical Attack,2014,6/3/2014,6/3/2014,Lower Colorado River Authority,Texas,ERCOT,"vandalism, physical",01:38:00,01:43:00,,
20,Physical Attack,2014,5/27/2014,5/27/2014,Arizona Public Service Co,Arizona,WECC,"vandalism, physical",11:00:00,16:53:00,,
21,Electrical System Separation,2014,5/26/2014,5/26/2014,Peak Reliability,Canada,WECC,islanding,12:31:00,13:18:00,,
22,Physical Attack,2014,5/23/2014,5/25/2014,Duke Energy Progress,North Carolina,SERC,"vandalism, physical",15:00:00,19:00:00,,
23,Physical Attack,2014,5/20/2014,5/20/2014,PacifiCorp,Utah,WECC,"vandalism, physical",07:01:00,07:02:00,,
24,Fire,2014,5/16/2014,5/16/2014,San Diego Gas & Electric Co,California,WECC,"wild fire, public appeal",10:43:00,21:00:00,1400000.0,3900.0
25,Fire,2014,5/15/2014,Unknown,San Diego Gas & Electric Co,California,WECC,"wild fire, public appeal",10:43:00,,1400000.0,3300.0
26,Physical Attack,2014,5/15/2014,5/15/2014,"Whiting Clean Energy, Inc.",Indiana,RFC,"vandalism, physical",12:10:00,12:13:00,,
27,Fire,2014,5/14/2014,Unknown,San Diego Gas & Electric Company,California,WECC,"wild fire, public appeal",15:34:00,,426.0,
28,Physical Attack,2014,5/12/2014,5/12/2014,PacifiCorp,Utah,WECC,"vandalism, physical",13:14:00,13:15:00,,
29,Physical Attack,2014,5/11/2014,5/11/2014,Great River Energy,Minnesota,MRO,"vandalism, physical",18:38:00,18:39:00,,
30,Severe Weather,2014,5/9/2014,5/11/2014,Vectren Energy Delivery of Indiana,Indiana,RFC,"severe weather, wind",18:00:00,13:00:00,56000.0,
31,Physical Attack,2014,5/8/2014,5/8/2014,"CSolar IV South, LLC",California,WECC,"vandalism, physical",08:39:00,08:40:00,,
32,Physical Attack,2014,5/8/2014,5/8/2014,Clarksdale Public Utilities,Mississippi,SERC,"vandalism, physical",01:00:00,01:01:00,,
33,Severe Weather,2014,4/30/2014,4/30/2014,Southern Company,Alabama,SERC,"severe weather, thunderstorm",03:50:00,14:00:00,89000.0,296.0
34,Severe Weather,2014,4/29/2014,4/29/2014,Southern Company,Mississippi,SERC,"severe weather, thunderstorm",23:30:00,12:30:00,106648.0,355.0
35,Severe Weather,2014,4/29/2014,5/1/2014,Tennessee Valley Authority,Mississippi,SERC,"severe weather, thunderstorm",09:37:00,09:00:00,57000.0,
36,Electrical System Separation,2014,4/27/2014,Unknown,Peak Reliability,Canada,WECC,islanding,09:15:00,,4000000.0,9750.0
37,Physical Attack,2014,4/27/2014,4/27/2014,PacifiCorp,Oregon,WECC,"vandalism, physical",12:07:00,12:09:00,,
38,Physical Attack,2014,4/25/2014,4/25/2014,Delmarva Power & Light Company,Delaware,RFC,"vandalism, physical",07:00:00,07:30:00,,
39,Electrical System Separation,2014,4/24/2014,4/24/2014,Peak Reliability,Canada,WECC,islanding,15:02:00,17:13:00,,
40,Load Shedding,2014,4/23/2014,4/23/2014,MISO / Entergy Transmission,Louisiana,SERC,load shedding,19:45:00,20:37:00,28000.0,163.0
41,Severe Weather,2014,4/12/2014,4/15/2014,Detroit Edison Company,Michigan,RFC,severe weather,20:00:00,19:30:00,164000.0,
42,Severe Weather,2014,4/12/2014,4/14/2014,Consumers Energy,Michigan,RFC,"severe weather, thunderstorm",18:15:00,09:00:00,50000.0,
43,Physical Attack,2014,4/8/2014,4/8/2014,"Western Area Power Administration, Sierra Nevada Region",California,WECC,"vandalism, physical",13:00:00,13:01:00,,
44,Voltage Reduction,2014,4/8/2014,4/8/2014,Puerto Rico Electric Power Authority,Puerto Rico,PR,voltage reduction,11:09:00,11:20:00,,
45,Severe Weather,2014,4/4/2014,4/4/2014,"Entergy Services, Inc.",Arkansas,SERC,"severe weather, wind",03:30:00,08:15:00,57200.0,
46,Fuel Supply,2014,4/3/2014,Unknown,City of Garland / Texas Municipal Power Agency,Texas,TRE,"fuel supply emergency, coal",00:00:00,,,
47,Fuel Supply,2014,4/3/2014,4/9/2014,We Energies,Wisconsin,MRO,"fuel supply emergency, coal",14:45:00,11:53:00,,
48,Voltage Reduction,2014,3/31/2014,3/31/2014,Puerto Rico Electric Power Authority,Puerto Rico,PR,voltage reduction,15:41:00,20:08:00,,
49,Electrical System Separation,2014,3/26/2014,3/26/2014,Peak Reliability,Montana,WECC,islanding,13:37:00,14:33:00,,
50,Physical Attack,2014,3/26/2014,4/10/2014,ITC Midwest LLC,Iowa,MRO,"vandalism, physical",16:00:00,12:00:00,,
51,Physical Attack,2014,3/24/2014,3/24/2014,PacifiCorp,Utah,WECC,"vandalism, physical",11:07:00,11:08:00,,
52,Cyber Attack,2014,3/20/2014,3/20/2014,NRG Energy Inc 2,New York,NPCC,"vandalism, cyber",00:00:00,00:01:00,,
53,Physical Attack,2014,3/17/2014,3/18/2014,Arizona Public Service Co,Arizona,WECC,vandalism,17:25:00,00:56:00,,
54,Physical Attack,2014,3/14/2014,3/14/2014,ITC Holdings,Iowa,MRO,"vandalism, physical",12:34:00,16:45:00,,
55,Severe Weather,2014,3/12/2014,3/13/2014,Duke Energy Carolinas,North Carolina,SERC,"severe weather, wind",19:35:00,12:00:00,61377.0,250.0
56,Physical Attack,2014,3/11/2014,3/13/2014,ITC Midwest LLC,Iowa,MRO,"vandalism, physical",00:00:00,00:00:00,,
57,Severe Weather,2014,3/7/2014,3/7/2014,Duke Energy Carolinas,North Carolina,SERC,"severe weather, winter storm",03:30:00,21:00:00,370900.0,1500.0
58,Physical Attack,2014,3/5/2014,3/5/2014,PacifiCorp,Utah,WECC,"vandalism, physical",17:06:00,17:07:00,,
59,Fuel Supply,2014,3/4/2014,3/17/2014,Wisconsin Public Service Corp,Wisconsin,MRO,"fuel supply emergency, coal",09:06:00,09:06:00,,
60,Physical Attack,2014,3/3/2014,3/3/2014,"Orange and Rockland Utilities, Inc.",New York,NPCC,"vandalism, physical",17:25:00,17:25:00,,
61,Severe Weather,2014,3/3/2014,3/3/2014,Tennessee Valley Authority,Tennessee,SERC,"severe weather, winter storm",06:40:00,15:28:00,65904.0,
62,Fuel Supply,2014,3/3/2014,3/3/2014,Public Utility District #1 of Chelan County (CHPD),Washington,WECC,"fuel supply emergency, hydro",01:48:00,01:49:00,,630.0
63,Severe Weather,2014,3/2/2014,3/4/2014,ERCOT,Texas,TRE,"severe weather, cold",19:00:00,09:00:00,,
64,Severe Weather,2014,2/21/2014,2/21/2014,Southern Company,Georgia,SERC,"severe weather, thunderstorm, wind",02:53:00,21:00:00,66445.0,221.0
65,Severe Weather,2014,2/20/2014,2/21/2014,Ameren Missouri,Illinois,SERC,"severe weather, winter storm",16:40:00,23:59:00,66000.0,
66,Physical Attack,2014,2/18/2014,2/18/2014,PacifiCorp,Oregon,WECC,"vandalism, physical",18:43:00,18:44:00,,
67,Physical Attack,2014,2/14/2014,2/14/2014,PacifiCorp,Oregon,WECC,"vandalism, physical",13:00:00,15:00:00,,
68,Severe Weather,2014,2/12/2014,2/15/2014,Duke Energy Progress,North Carolina,SERC,"severe weather, winter storm",12:10:00,15:20:00,200000.0,
69,Physical Attack,2014,2/12/2014,2/12/2014,ISO New England,Vermont,NPCC,"vandalism, physical",14:15:00,14:16:00,,
70,Severe Weather,2014,2/12/2014,2/15/2014,South Carolina Electric and Gas,North Carolina,SERC,"severe weather, winter storm",11:03:00,08:40:00,120124.0,700.0
71,Severe Weather,2014,2/12/2014,2/15/2014,Southern Company,Georgia,SERC,"severe weather, winter storm",07:48:00,04:30:00,373835.0,1246.0
72,Public Appeal,2014,2/7/2014,2/7/2014,American Electric Power,Texas,TRE,public appeal,16:50:00,20:30:00,,
73,Public Appeal,2014,2/7/2014,2/8/2014,ERCOT,Texas,TRE,public appeal,16:30:00,09:00:00,,
74,Fuel Supply,2014,2/7/2014,3/21/2014,"Somerset Operating Company, LLC",New York,NPCC,"fuel supply emergency, coal",07:00:00,08:00:00,,675.0
